Kind,Name,RatioCommentToCode
File,"src\App.css","0.00"
File,"src\App.test.tsx","0.79"
File,"src\App.tsx","0.16"
File,"src\GlobalStyles.tsx","0.21"
File,"src\Theme.tsx","0.58"
File,"src\api\AnswerAPI\AnswerAPI.tsx","0.45"
File,"src\api\AnswerAPI\__test__\AnswerAPI.test.tsx","0.00"
File,"src\api\AssessmentAPI\AssessmentAPI.tsx","0.31"
File,"src\api\AssessmentAPI\__test__\AssessmentAPI.test.tsx","0.00"
File,"src\api\CategoryAPI\CategoryAPI.tsx","0.32"
File,"src\api\CategoryAPI\__test__\CategoryAPI.test.tsx","0.00"
File,"src\api\CheckpointAPI\CheckpointAPI.tsx","0.30"
File,"src\api\CheckpointAPI\__test__\CheckpointAPI.test.tsx","0.00"
File,"src\api\LoginAPI\LoginAPI.tsx","0.34"
File,"src\api\LoginAPI\__test__\LoginAPI.test.tsx","0.00"
File,"src\api\MaturityAPI\MaturityAPI.tsx","0.36"
File,"src\api\MaturityAPI\__test__\MaturityAPI.test.tsx","0.00"
File,"src\api\RecommendationAPI\RecommendationAPI.tsx","0.34"
File,"src\api\RecommendationAPI\__test__\RecommendationAPI.test.tsx","0.00"
File,"src\api\ScoreAPI\ScoreAPI.tsx","0.33"
File,"src\api\ScoreAPI\__test__\ScoreAPI.test.tsx","0.00"
File,"src\api\SubareaAPI\SubareaAPI.tsx","0.34"
File,"src\api\SubareaAPI\__test__\SubareaAPI.test.tsx","0.00"
File,"src\api\TeamAPI\TeamAPI.tsx","0.39"
File,"src\api\TeamAPI\__test__\TeamAPI.test.tsx","0.00"
File,"src\api\TemplateAPI\TemplateAPI.tsx","0.27"
File,"src\api\TemplateAPI\__test__\TemplateAPI.test.tsx","0.00"
File,"src\api\TopicAPI\TopicAPI.tsx","0.36"
File,"src\api\TopicAPI\__test__\TopicAPI.test.tsx","0.00"
File,"src\api\UserAPI\UserAPI.tsx","0.34"
File,"src\api\UserAPI\__test__\UserAPI.test.tsx","0.00"
File,"src\api\_API.tsx","0.58"
File,"src\app\__test__\userDataSlice.test.tsx","0.30"
File,"src\app\client.tsx","1.00"
File,"src\app\store.tsx","0.56"
File,"src\app\userDataSlice.tsx","0.38"
File,"src\components\ButtonInverted\ButtonInverted.tsx","0.60"
File,"src\components\ButtonInverted\__test__\ButtonInverted.test.tsx","0.25"
File,"src\components\ButtonRegular\ButtonRegular.tsx","0.47"
File,"src\components\ButtonRegular\__test__\ButtonRegular.test.tsx","0.25"
File,"src\components\Cards\Footer.tsx","0.23"
File,"src\components\Cards\Header.tsx","0.20"
File,"src\components\Cards\__test__\Footer.test.tsx","0.20"
File,"src\components\Cards\__test__\Header.test.tsx","0.25"
File,"src\components\Checkpoint\Checkpoint.tsx","0.22"
File,"src\components\Checkpoint\__test__\Checkpoint.test.tsx","0.21"
File,"src\components\Dialog\DeleteDialog.tsx","0.40"
File,"src\components\ErrorPopup\ErrorPopup.tsx","0.52"
File,"src\components\Grids\Generic\GenericGrid.tsx","0.18"
File,"src\components\Grids\Specific\Answer\AnswerGrid.tsx","0.29"
File,"src\components\Grids\Specific\Assessment\AssessmentCompleted\AssessmentCompletedGrid.tsx","0.22"
File,"src\components\Grids\Specific\Assessment\AssessmentOngoing\AssessmentOngoingGrid.tsx","0.24"
File,"src\components\Grids\Specific\Category\CategoryGrid.tsx","0.23"
File,"src\components\Grids\Specific\Checkpoint\CheckpointGrid.tsx","0.26"
File,"src\components\Grids\Specific\Individual\IndividualGrid.tsx","0.27"
File,"src\components\Grids\Specific\Maturity\MaturityGrid.tsx","0.29"
File,"src\components\Grids\Specific\Member\MemberGrid.tsx","0.32"
File,"src\components\Grids\Specific\Recommendation\RecommendationGrid.tsx","0.28"
File,"src\components\Grids\Specific\Subarea\SubareaGrid.tsx","0.25"
File,"src\components\Grids\Specific\Team\TeamGrid.tsx","0.27"
File,"src\components\Grids\Specific\Template\TemplateGrid.tsx","0.23"
File,"src\components\Grids\Specific\Topic\TopicGrid.tsx","0.36"
File,"src\components\Grids\Specific\columns.tsx","0.28"
File,"src\components\Grids\functions\handlers\handlers.tsx","0.56"
File,"src\components\Grids\functions\helpers\__test__\helpers.test.tsx","0.00"
File,"src\components\Grids\functions\helpers\helpers.tsx","0.91"
File,"src\components\ListOfCheckpoints\AreaSpecificCheckpoints.tsx","0.30"
File,"src\components\ListOfCheckpoints\ListOfCheckpoints.tsx","0.24"
File,"src\components\ListOfRecommendations\ListOfRecommendations.tsx","0.20"
File,"src\components\ListOfRecommendations\__test__\ListOfRecommendations.test.tsx","0.00"
File,"src\components\PageCard\PageCard.tsx","0.37"
File,"src\components\PageCard\SpecificPageCards\EvaluationCard.tsx","0.25"
File,"src\components\PageCard\SpecificPageCards\IndividualCard.tsx","0.29"
File,"src\components\PageCard\SpecificPageCards\ProgressCard.tsx","0.26"
File,"src\components\PageCard\SpecificPageCards\ProgressEvaluationCard.tsx","0.21"
File,"src\components\PageCard\SpecificPageCards\TeamCard.tsx","0.25"
File,"src\components\PageCard\SpecificPageCards\TemplateCard.tsx","0.29"
File,"src\components\PageCard\__test__\PageCard.test.tsx","0.10"
File,"src\components\Sidebar\Sidebar.tsx","0.17"
File,"src\components\Sidebar\__test__\Sidebar.test.tsx","0.00"
File,"src\components\Sidebar\listItems.tsx","0.30"
File,"src\components\Sidebar\listUsersTypes.tsx","0.47"
File,"src\components\SignInUP\Chooserole.tsx","0.39"
File,"src\components\SignInUP\DetailGen.tsx","0.24"
File,"src\components\SignInUP\LoginLayout.tsx","0.18"
File,"src\components\SignInUP\SignIn.tsx","0.18"
File,"src\components\Subarea\Subarea.css","0.00"
File,"src\components\Subarea\Subarea.tsx","0.22"
File,"src\components\Subarea\__test__\Subarea.test.tsx","0.29"
File,"src\components\TextfieldEditWeight\TextfieldEditWeight.tsx","0.36"
File,"src\components\TextfieldEdit\TextfieldEdit.tsx","0.38"
File,"src\components\TextfieldEdit\__test__\TextfieldEdit.test.tsx","0.29"
File,"src\components\Textfield\Textfield.tsx","0.27"
File,"src\components\Textfield\__test__\Textfield.test.tsx","0.35"
File,"src\index.css","0.00"
File,"src\index.tsx","0.26"
File,"src\pages\ErrorPage.tsx","0.31"
File,"src\pages\PageLayout.test.tsx","0.00"
File,"src\pages\PageLayout.tsx","0.21"
File,"src\pages\admin\AdminInterface\AdminInterface.tsx","0.24"
File,"src\pages\admin\AdminInterface\__test__\AdminInterface.test.tsx","0.15"
File,"src\pages\admin\ListOfIndividuals\ListOfIndividuals.tsx","0.29"
File,"src\pages\admin\ListOfIndividuals\__test__\ListOfIndividuals.test.tsx","0.00"
File,"src\pages\admin\templates\Area\Area.tsx","0.25"
File,"src\pages\admin\templates\Area\__test__\Area.test.tsx","0.00"
File,"src\pages\admin\templates\Area\__test__\colorHelpers.test.ts","0.00"
File,"src\pages\admin\templates\Area\colorHelpers.ts","0.90"
File,"src\pages\admin\templates\ListOfTemplates\ListOfTemplates.tsx","0.15"
File,"src\pages\admin\templates\ListOfTemplates\__test__\ListOfTemplates.test.tsx","0.14"
File,"src\pages\admin\templates\Template\Template.tsx","0.03"
File,"src\pages\admin\templates\Template\__test__\Template.test.tsx","0.00"
File,"src\pages\assessor\AssessorInterface.tsx","0.17"
File,"src\pages\assessor\__test__\AssessorInterface.test.tsx","0.14"
File,"src\pages\evaluations\Evaluation\Evaluation.tsx","0.28"
File,"src\pages\evaluations\Feedback\Feedback.tsx","0.26"
File,"src\pages\evaluations\PDF\helpersAPI\pdfHelpersAPI.ts","0.70"
File,"src\pages\evaluations\PDF\helpers\__test__\helpers.test.ts","0.00"
File,"src\pages\evaluations\PDF\helpers\pdfHelpers.ts","0.68"
File,"src\pages\evaluations\PDF\pdf\__test__\pdf.test.ts","0.00"
File,"src\pages\evaluations\PDF\pdf\pdf.ts","0.55"
File,"src\pages\evaluations\PDF\tableHelpers\__test__\tableHelpers.test.ts","0.00"
File,"src\pages\evaluations\PDF\tableHelpers\tableHelpers.ts","0.65"
File,"src\pages\routingHelpers.ts","0.73"
File,"src\pages\teams\TeamList\TeamList.tsx","0.17"
File,"src\pages\teams\TeamList\__test__\TeamList.test.tsx","0.12"
File,"src\pages\teams\Team\Team.tsx","0.16"
File,"src\pages\teams\Team\__test__\Team.test.tsx","0.05"
File,"src\pages\user\ListOfSelfEvals\ListOfSelfEvals.tsx","0.38"
File,"src\pages\user\ListOfSelfEvals\__test__\ListOfSelfEvals.test.tsx","0.00"
File,"src\pages\user\UserInterface\UserInterface.tsx","0.16"
File,"src\pages\user\UserInterface\__test__\UserInterface.test.tsx","0.00"
File,"src\react-app-env.d.ts","1.00"
File,"src\setupTests.ts","4.00"
File,"src\test-utils.ts","0.20"
File,"src\types\AssessmentType.tsx","4.00"
File,"src\types\UserRole.tsx","4.00"
